Game,Winner,Reason,TotalMoves
356,Draw,Max Moves,200
357,Draw,Max Moves,200
358,Draw,Max Moves,200
359,Draw,Max Moves,200
360,Draw,Max Moves,200
361,Draw,Max Moves,200
362,Draw,Max Moves,200
363,Bot2_Black,Checkmate,54
364,Draw,Max Moves,200
365,Draw,Max Moves,200
366,Draw,Max Moves,200
367,Draw,Max Moves,200
368,Draw,Max Moves,200
369,Draw,Max Moves,200
370,Draw,Max Moves,200
371,Draw,Max Moves,200
372,Draw,Max Moves,200
373,Draw,Max Moves,200
374,Draw,Max Moves,200
375,Draw,Max Moves,200
376,Draw,Max Moves,200
377,Draw,Max Moves,200
378,Draw,Max Moves,200
379,Draw,Max Moves,200
380,Bot2_White,Checkmate,133
381,Draw,Max Moves,200
382,Draw,Max Moves,200
383,Draw,Max Moves,200
384,Draw,Max Moves,200
385,Draw,Max Moves,200
386,Draw,Max Moves,200
387,Draw,Stalemate,168
388,Draw,Max Moves,200
389,Draw,Max Moves,200
390,Draw,Max Moves,200
391,Draw,Max Moves,200
392,Draw,Max Moves,200
393,Draw,Repetition,129
394,Draw,Max Moves,200
395,Draw,Max Moves,200
396,Draw,Max Moves,200
397,Draw,Max Moves,200
398,Draw,Max Moves,200
399,Draw,Max Moves,200
400,Draw,Max Moves,200
401,Draw,Max Moves,200
402,Draw,Max Moves,200
403,Draw,Max Moves,200
404,Draw,Max Moves,200
405,Draw,Max Moves,200
406,Draw,Max Moves,200
407,Draw,Repetition,161
408,Draw,Max Moves,200
409,Draw,Max Moves,200
410,Draw,Repetition,139
411,Draw,Max Moves,200
412,Draw,Max Moves,200
413,Draw,Max Moves,200
414,Draw,Max Moves,200
415,Draw,Max Moves,200
416,Draw,Max Moves,200
417,Draw,Max Moves,200
418,Draw,Max Moves,200
419,Draw,Repetition,91
420,Draw,Max Moves,200
421,Draw,Max Moves,200
422,Draw,Repetition,156
423,Draw,Max Moves,200
424,Draw,Max Moves,200
425,Draw,Max Moves,200
426,Draw,Max Moves,200
427,Draw,Max Moves,200
428,Draw,Max Moves,200
429,Draw,Max Moves,200
430,Draw,Max Moves,200
431,Draw,Max Moves,200
432,Draw,Max Moves,200
433,Draw,Max Moves,200
434,Draw,Max Moves,200
435,Draw,Max Moves,200
436,Draw,Max Moves,200
437,Draw,Max Moves,200
438,Draw,Max Moves,200
439,Draw,Max Moves,200
440,Draw,Max Moves,200
441,Draw,Max Moves,200
442,Draw,Max Moves,200
443,Draw,Stalemate,115
444,Draw,Max Moves,200
445,Draw,Max Moves,200
446,Draw,Max Moves,200
447,Draw,Max Moves,200
448,Draw,Max Moves,200
449,Draw,Max Moves,200
450,Draw,Max Moves,200
451,Draw,Max Moves,200
452,Draw,Max Moves,200
453,Draw,Max Moves,200
